,Date,Open,High,Low,Close,Adj Close,Volume
879,2018-06-07,15.83,15.97,14.85,14.89,14.89,99860300
880,2018-06-08,14.52,15.33,14.31,15.25,15.25,81930500
881,2018-06-11,15.21,15.89,15.01,15.73,15.73,80737600
882,2018-06-12,15.84,15.95,15.43,15.85,15.85,67002600
883,2018-06-13,15.81,16.52,15.78,16.32,16.32,90227300
884,2018-06-14,16.620001000000002,16.790001,15.58,16.25,16.25,113048600
885,2018-06-15,16.059998999999998,16.52,15.82,16.34,16.34,77612200
886,2018-06-18,16.18,17.34,16.129998999999998,17.110001,17.110001,104317400
887,2018-06-19,16.85,17.290001,16.309998999999998,16.690001000000002,16.690001000000002,92542900
888,2018-06-20,16.83,17.129998999999998,16.370001000000002,16.52,16.52,76280600
889,2018-06-21,16.65,16.870001000000002,15.46,15.65,15.65,95638400
890,2018-06-22,15.78,15.91,15.56,15.8,15.8,59257100
891,2018-06-25,15.64,15.74,14.54,15.11,15.11,94418400
892,2018-06-26,15.32,15.6,15.1,15.5,15.5,54213500
893,2018-06-27,15.65,15.76,14.96,14.97,14.97,56014300
894,2018-06-28,14.85,15.36,14.75,15.31,15.31,48716800
895,2018-06-29,15.41,15.49,14.98,14.99,14.99,41527800
896,2018-07-02,14.8,15.18,14.74,15.16,15.16,43398800
897,2018-07-03,15.21,15.34,14.96,15.0,15.0,32094000
898,2018-07-05,15.13,15.5,15.02,15.5,15.5,40703300
899,2018-07-06,15.52,16.389999,15.48,16.360001,16.360001,65101700
900,2018-07-09,16.73,16.84,16.17,16.610001,16.610001,58525500
901,2018-07-10,16.59,16.65,16.309998999999998,16.549999,16.549999,37093000
902,2018-07-11,16.15,16.530001000000002,16.02,16.27,16.27,42544100
903,2018-07-12,16.41,16.790001,16.379998999999998,16.559998999999998,16.559998999999998,44188100
904,2018-07-13,16.68,16.690001000000002,16.219998999999998,16.27,16.27,40614100
905,2018-07-16,16.42,17.0,16.41,16.58,16.58,65275300
906,2018-07-17,16.5,16.879998999999998,16.48,16.870001000000002,16.870001000000002,42313500
907,2018-07-18,16.940001000000002,16.99,16.549999,16.85,16.85,40881500
908,2018-07-19,16.709999,16.879998999999998,16.549999,16.709999,16.709999,41267800
909,2018-07-20,16.66,16.879998999999998,16.440001000000002,16.5,16.5,42879800
910,2018-07-23,16.469998999999998,16.68,15.9,16.66,16.66,44940800
911,2018-07-24,16.75,16.860001,16.110001,16.190001000000002,16.190001000000002,58201500
912,2018-07-25,16.299999,16.389999,15.72,16.049999,16.049999,82604900
913,2018-07-26,17.16,18.450001,16.83,18.35,18.35,192661100
914,2018-07-27,19.07,19.879998999999998,18.309998999999998,18.940001000000002,18.940001000000002,161903800
915,2018-07-30,19.4,20.18,19.309998999999998,19.42,19.42,160823400
916,2018-07-31,19.35,19.5,18.27,18.33,18.33,118403400
917,2018-08-01,18.34,18.950001,18.32,18.48,18.48,75495200
918,2018-08-02,18.17,18.83,18.0,18.790001,18.790001,52867100
919,2018-08-03,18.940001000000002,19.059998999999998,18.370001000000002,18.49,18.49,53232100
920,2018-08-06,18.889999,19.440001000000002,18.459999,19.43,19.43,83579700
921,2018-08-07,19.530001000000002,19.709999,19.08,19.559998999999998,19.559998999999998,72822600
922,2018-08-08,19.459999,19.77,19.26,19.58,19.58,52081400
923,2018-08-09,19.58,19.709999,19.08,19.1,19.1,46653400
924,2018-08-10,19.09,19.48,18.85,19.059998999999998,19.059998999999998,65821100
925,2018-08-13,19.16,19.93,19.120001000000002,19.73,19.73,81411300
926,2018-08-14,19.969998999999998,20.280001000000002,19.629998999999998,20.02,20.02,89195500
927,2018-08-15,19.860001,20.1,19.200001,19.700001,19.700001,86355700
928,2018-08-16,19.860001,20.07,19.25,19.33,19.33,69733700
929,2018-08-17,19.120001000000002,19.82,18.73,19.77,19.77,60616600
930,2018-08-20,19.790001,20.08,19.35,19.98,19.98,62983200
931,2018-08-21,19.98,20.42,19.860001,20.4,20.4,55629000
932,2018-08-22,20.280001000000002,20.92,20.209999,20.9,20.9,62002700
933,2018-08-23,21.190001000000002,22.32,21.139999,22.290001,22.290001,113444100
934,2018-08-24,22.91,24.0,22.67,23.98,23.98,164328200
935,2018-08-27,24.940001000000002,27.299999,24.629998999999998,25.26,25.26,325058400
936,2018-08-28,25.51,26.18,24.040001,25.049999,25.049999,215771200
937,2018-08-29,24.360001,25.41,24.01,25.200001,25.200001,143223200
938,2018-08-30,25.290001,25.67,24.76,24.889999,24.889999,103607300
939,2018-08-31,24.889999,25.24,24.719998999999998,25.17,25.17,65206400
940,2018-09-04,25.620001000000002,28.110001,25.57,28.059998999999998,28.059998999999998,192541300
941,2018-09-05,29.41,29.940001000000002,26.84,28.51,28.51,257349000
942,2018-09-06,28.120001000000002,28.58,27.190001000000002,27.84,27.84,143942900
943,2018-09-07,26.959999,28.27,26.799999,27.379998999999998,27.379998999999998,123348700
944,2018-09-10,28.15,29.93,27.84,29.889999,29.889999,162253800
945,2018-09-11,30.02,30.59,29.370001000000002,30.1,30.1,159902500
946,2018-09-12,29.91,32.290001000000004,29.450001,32.209998999999996,32.209998999999996,197889600
947,2018-09-13,33.16,34.139998999999996,29.870001000000002,30.48,30.48,304147100
948,2018-09-14,31.43,33.09,30.540001,32.720001,32.720001,217762800
949,2018-09-17,31.75,33.23,31.6,32.43,32.43,180410600
950,2018-09-18,32.990002000000004,33.369999,31.200001,31.93,31.93,176673200
951,2018-09-19,31.52,31.83,30.51,31.209999,31.209999,124287000
952,2018-09-20,32.099998,32.200001,30.639999,31.18,31.18,123116500
953,2018-09-21,31.190001000000002,32.419998,30.91,31.02,31.02,129792900
954,2018-09-24,31.129998999999998,32.650002,30.91,32.610001000000004,32.610001000000004,118332600
955,2018-09-25,33.18,33.599998,32.189999,32.57,32.57,118570200
956,2018-09-26,32.400002,32.599998,31.719998999999998,32.189999,32.189999,79347300
